21/10/2022,Pusher Finger2,60,42,44,0.03,0.25
21/10/2022,Invert3,56,46,48,0.66,0.35
21/10/2022,TakeOut3,68,55,43,0.19,0.04
21/10/2022,PusherArm3,59,43,46,0.00,0.25
21/10/2022,Pusher Finger3,73,41,44,0.01,0.36
21/10/2022,Invert4,62,55,49,1.56,0.69
21/10/2022,TakeOut4,77,52,49,0.40,0.39
21/10/2022,PusherArm4,61,44,48,0.03,0.26
21/10/2022,Pusher Finger4,59,42,47,0.03,0.36
21/10/2022,Invert5,60,51,52,1.27,0.56
21/10/2022,TakeOut5,73,52,50,0.36,0.51
21/10/2022,PusherArm5,59,45,48,0.03,0.18
21/10/2022,Pusher Finger5,56,43,47,0.05,0.25
21/10/2022,Invert6,62,49,50,1.49,0.0
21/10/2022,TakeOut6,77,54,50,0.43,0.49
21/10/2022,PusherArm6,7,46,47,0.02,0.37
21/10/2022,Pusher Finger6,63,54,41,0.06,0.0
21/10/2022,Invert7,61,56,51,1.25,0.85
21/10/2022,TakeOut7,70,52,49,0.30,0.42
21/10/2022,PusherArm7,55,49,49,0.07,0.39
21/10/2022,Pusher Finger7,54,49,49,0.04,0.26
21/10/2022,Invert8,71,50,43,1.44,0.48
21/10/2022,TakeOut8,61,56,43,0.41,0.11
21/10/2022,PusherArm8,68,53,43,0.03,0.0
21/10/2022,Pusher Finger8,69,51,42,0.03,0.01
21/10/2022,Invert9,70,43,44,1.72,0.54
21/10/2022,TakeOut9,73,51,48,0.39,0.42
21/10/2022,PusherArm9,68,58,45,0.14,0.01
21/10/2022,Pusher Finger9,56,44,48,0.04,0.49
21/10/2022,Invert10,61,54,48,1.36,0.64
21/10/2022,TakeOut10,67,51,51,0.48,0.44
21/10/2022,PusherArm10,55,44,48,0.01,0.36
21/10/2022,Pusher Finger10,31,44,47,0.03,0.36
28/10/2022,Tube Height,79,44,49,0.07,0.16
28/10/2022,Feeder Plunger,63,47,44,0.05,0.01
28/10/2022,Shear,63,42,41,2.53,0.52
28/10/2022,Gob,70,43,36,0.40,0.02
28/10/2022,Invert1,54,54,47,1.34,0.75
28/10/2022,TakeOut1,76,47,47,0.39,0.55
28/10/2022,PusherArm1,55,44,46,0.03,0.29
28/10/2022,Pusher Finger1,31,42,46,0.05,0.25
28/10/2022,Invert2,58,52,48,1.26,0.66
28/10/2022,TakeOut2,78,51,49,0.34,0.51
28/10/2022,PusherArm2,54,44,55,0.02,0.29
28/10/2022,Pusher Finger2,56,41,46,0.03,0.25
28/10/2022,Invert3,7,53,50,1.35,0.75
28/10/2022,TakeOut3,90,46,43,0.41,0.08
28/10/2022,PusherArm3,62,44,46,0.01,0.28
28/10/2022,Pusher Finger3,75,43,44,0.03,0.37
28/10/2022,Invert4,65,58,48,3.28,0.81
28/10/2022,TakeOut4,73,51,49,0.28,0.38
28/10/2022,PusherArm4,55,44,48,0.03,0.26
28/10/2022,Pusher Finger4,53,42,47,0.04,0.37
28/10/2022,Invert5,56,52,52,1.43,0.64
28/10/2022,TakeOut5,70,53,50,0.39,0.55
28/10/2022,PusherArm5,33,46,48,0.04,0.18
28/10/2022,Pusher Finger5,31,44,47,0.06,0.25
28/10/2022,Invert6,59,50,49,1.51,0.0
28/10/2022,TakeOut6,76,54,50,0.43,0.5
28/10/2022,PusherArm6,52,46,48,0.02,0.37
28/10/2022,Pusher Finger6,60,55,42,0.07,0.0
28/10/2022,Invert7,59,56,51,1.56,0.96
28/10/2022,TakeOut7,72,53,49,0.40,0.45
28/10/2022,PusherArm7,33,49,49,0.09,0.4
28/10/2022,Pusher Finger7,52,47,49,0.04,0.26
28/10/2022,Invert8,638,43,43,1.43,0.47
28/10/2022,TakeOut8,60,59,44,0.41,0.11
28/10/2022,PusherArm8,69,53,43,0.03,0.0
28/10/2022,Pusher Finger8,70,51,43,0.03,0.01
28/10/2022,Invert9,65,51,43,1.53,0.48
28/10/2022,TakeOut9,72,51,48,0.33,0.33
28/10/2022,PusherArm9,64,56,44,0.11,0.01
28/10/2022,Pusher Finger9,54,44,47,0.04,0.49
28/10/2022,Invert10,60,52,47,1.52,0.68
28/10/2022,TakeOut10,69,51,51,0.52,0.47
28/10/2022,PusherArm10,31,45,47,0.02,0.37
28/10/2022,Pusher Finger10,48,45,47,0.05,0.36
28/10/2022,Machine Conveyor,28/10/2022,Ware Transfer,28/10/2022,Cross Conveyor,28/10/2022,Tube Rotation,79,51,42,0.13,0.01
28/10/2022,Tube Height,61,43,49,0.00,0.16
28/10/2022,Feeder Plunger,67,49,44,0.06,0.01
28/10/2022,Shear,66,42,41,2.54,0.52
28/10/2022,Gob,72,43,36,0.40,0.02
28/10/2022,Invert1,58,54,47,1.41,0.75
28/10/2022,TakeOut1,78,49,47,0.40,0.55
28/10/2022,PusherArm1,59,44,46,0.03,0.29
28/10/2022,Pusher Finger1,55,42,45,0.05,0.25
28/10/2022,Invert2,62,53,49,1.41,0.75
28/10/2022,TakeOut2,61,53,49,0.39,0.54
28/10/2022,PusherArm2,7,45,56,0.03,0.31
28/10/2022,Pusher Finger2,60,42,46,0.03,0.25
28/10/2022,Invert3,61,54,50,1.52,0.77
28/10/2022,TakeOut3,93,56,42,0.44,0.09
28/10/2022,PusherArm3,64,46,47,0.01,0.28
28/10/2022,Pusher Finger3,77,43,45,0.03,0.37
28/10/2022,Invert4,71,43,47,442,0.88
28/10/2022,TakeOut4,78,53,50,0.37,0.4
28/10/2022,PusherArm4,59,45,49,0.03,0.27
28/10/2022,Pusher Finger4,55,43,48,0.03,0.37
28/10/2022,Invert5,60,51,52,0.60,0.59
28/10/2022,TakeOut5,73,52,50,0.17,0.5
28/10/2022,PusherArm5,56,45,48,0.02,0.17
28/10/2022,Pusher Finger5,53,44,47,0.05,0.23
28/10/2022,Invert6,62,50,50,1.45,0.0
28/10/2022,TakeOut6,78,55,51,0.41,0.51
